  id  |                                                                          name                                                                          |            email             
------+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------
 2321 | What are the signs and symptoms of lupus                                                                                                               | oxbpbobjxh@khjqng.com
 2091 | Ativan                                                                                                                                                 | xatwumfoin@bvhufw.com
 2092 | Juegos de casino para celulares                                                                                                                        | yowowphkgn@dfumax.com
 2093 | Generic Cialis                                                                                                                                         | jfvjmpszed@cgzosj.com
 2094 | Eating with ambien                                                                                                                                     | wzxlttgdvd@ruxtvl.com
 2095 | Ways to market on facebook                                                                                                                             | vlcwenkivk@dyzbpi.com
 2096 | Texas hold em free online poker                                                                                                                        | filxcsvhbb@ubgwek.com
 2097 | Cialis                                                                                                                                                 | xzeuiomdtc@ykdlur.com
 2098 | Forex option                                                                                                                                           | brxyhmyuxb@ycflyv.com
 2102 | Manufacturers zolpidem                                                                                                                                 | zuygeckeoq@vuelsk.com
 2103 | Omegle                                                                                                                                                 | qnquqivbxc@zckrcy.com
 2105 | Pokies                                                                                                                                                 | kjswasmhct@epwwwg.com
 2297 | Compare viagra to cialis and levitra                                                                                                                   | zgzmevqczc@ymgxeg.com
 2299 | Internet services web design                                                                                                                           | noixwkvcez@wfbjta.com
 2300 | Fioricet on line                                                                                                                                       | dzbcxkkeji@zxacmj.com
 2301 | Quick forum readtopic propecia none generated                                                                                                          | sgynewlmqm@dvfhis.com
 2302 | Marketing facebook 2009                                                                                                                                | ogfqonttsc@xnmncl.com
 2311 | Australian casino online                                                                                                                               | boztuslghk@hqgwad.com
 2312 | Dog medical symptoms                                                                                                                                   | kirhdqhwlb@xrzcvv.com
 2313 | Tramadol                                                                                                                                               | tiukhymium@yszonq.com
 2314 | Fedex generic viagra                                                                                                                                   | egutofuoqj@wrwbme.com
 2317 | Compare life insurance quotes                                                                                                                          | wbrnbqsfdm@ndivok.com
 2318 | Online Casino                                                                                                                                          | qzbejjbqfw@tqgpno.com
 2319 | Slots games online                                                                                                                                     | sxlctuhfua@zhpdit.com
 2320 | Marketing with facebook                                                                                                                                | upsayeuuov@eywgca.com
 2322 | Tadalafil citrate                                                                                                                                      | beeeckfuwx@jivfdf.com
 2323 | Pokies slots                                                                                                                                           | gleztdcvmj@opsrld.com
 2325 | Fioricet                                                                                                                                               | wwyxndfgam@mqafgh.com
 2111 | Standard levitra prescription                                                                                                                          | jqftffqrdn@ezplgb.com
 2112 | Yellow valium                                                                                                                                          | thncpguatu@itsumr.com
 2113 | Web online blackjack                                                                                                                                   | cgrolkmwhg@ymrfvy.com
 2114 | Home mortgage calculator colorado                                                                                                                      | dwutxkitna@ddhoev.com
 2115 | Life insurance agent                                                                                                                                   | iarvdwotiu@aohwza.com
 2116 | Health net insurance buy fioricet                                                                                                                      | ecmitkpdtz@cvpyar.com
 2148 | Forex currency                                                                                                                                         | cwsqvualru@ieacxu.com
 2099 | Casino online forum                                                                                                                                    | wpjmgxsoas@lprjec.com
 2100 | Early menopause perimenopause symptoms                                                                                                                 | uhcmvklnjl@ulhmgr.com
 2101 | Car insurance commercial                                                                                                                               | qrszsfyykn@moycfh.com
 2104 | What is levitra                                                                                                                                        | poevcgonmn@cmoane.com
 2117 | Slots vote results anne arundel                                                                                                                        | bhqmjgmluj@uhrukv.com
 2106 | Play the pokies online                                                                                                                                 | wbwyzjgzru@wyuikp.com
 2107 | Jackpotcity bingo                                                                                                                                      | cyhyntfnxl@rewrfe.com
 2108 | Chat roulette 18+                                                                                                                                      | kssbovpxgn@bielcx.com
 2109 | Paypal xanax                                                                                                                                           | jnbgevwpcv@jcjpvh.com
 2110 | Dapoxetine                                                                                                                                             | wmnjypyqka@xmzhqf.com
 2118 | Porn games                                                                                                                                             | gfmltgjdcr@hojfmn.com
 2119 | Want to invest payday loan                                                                                                                             | mmqfgdkbti@xebiki.com
 2120 | Gestational Diabetes Symptoms                                                                                                                          | kmmenwslwu@uegtxe.com
 2121 | Dapoxetine                                                                                                                                             | eswaoiijkf@rdeovy.com
 2122 | Www healthra com buy cipro htm                                                                                                                         | grnevhrmet@uduxuw.com
 2123 | Www sibutramine org                                                                                                                                    | tvoskcltni@vkgoir.com
 2124 | Vardenafil products                                                                                                                                    | rjtcnsogtg@plofdw.com
 2125 | Blackjack                                                                                                                                              | zagkhvrzys@jnaqff.com
 2126 | Cheapest generic india tadalafil                                                                                                                       | ughrowggkb@jaueux.com
 2127 | Vardenafil hydrochloride                                                                                                                               | otseatkejh@fydanx.com
 2128 | Locksmith Los Angeles                                                                                                                                  | uacxomqbwp@xvcyvg.com
 2149 | Typical dossage of ativan                                                                                                                              | hpxcjzqegz@zyknot.com
 2137 | Difference between valium and xanax                                                                                                                    | bhhdfstlex@whdhpo.com
 2138 | Order adipex online                                                                                                                                    | peafsfqraz@jinjyo.com
 2139 | Http www cam4                                                                                                                                          | qqqjvtlrkm@nvuhjy.com
 2144 | Still birth and klonopin                                                                                                                               | eowrhabcbu@tbfjbm.com
 2145 | pokerstars bonus code                                                                                                                                  | ywuqjsvxfs@nepoep.com
 2146 | How to stop taking ambien                                                                                                                              | qobadkzsvl@nassfq.com
 2147 | Mexican online pharmacy no prescription                                                                                                                | wrqobnbnxl@kynssn.com
 2151 | Life Insurance Quotes                                                                                                                                  | ufvyddeadj@fyvjns.com
 2152 | Platinum play online casino                                                                                                                            | hxnckkyaut@aoqcoq.com
 2153 | Dapoxetine side effects                                                                                                                                | achnrjbogg@tnnwxy.com
 2154 | Prozac and ambien                                                                                                                                      | kmpbomausk@vbumty.com
 2129 | Igf-1 side effects                                                                                                                                     | dbaixprofk@hqzlhl.com
 2130 | Tramadol for dogs                                                                                                                                      | gikeitgysh@zrybbp.com
 2131 | Klonopin                                                                                                                                               | uencisdlcs@oiyjui.com
 2132 | Levitra ear ring                                                                                                                                       | rmfdccqlva@fnsvpy.com
 2133 | Porn                                                                                                                                                   | uqyatjvwcf@mmlovo.com
 2134 | Viagra                                                                                                                                                 | pdqvuqyyqa@zgucrw.com
 2135 | India cialis                                                                                                                                           | jayxfwucri@faobur.com
